,X,EH_ID,experiment,completed_mice,labels,Repeated_DNA_extract,dpi,Utilised_fecal_mass_for_DNA_extraction_in grams,Extraction_round_1,Extraction_round_2,Errors_during_extraction,E57_Sample_status,VJD_Sample_status,Faeces_for_RNA-SEQ,Date_of_extraction,Executor,Sample_location,V_H20,Date and Time,Nucleic Acid Conc.,Unit,A260,A280,260/280,260/230,Sample Type
153,141,LM0190,E57,XX,E57aINR,,4,0.0650,with_beads,with_beads,,Found,Found,,10.04.2022_B1,Dileshi,Box_4_Row_1,,4/10/2022 5:19:48 PM,62.7,ng/µl,1.254,0.722,1.74,1.19,D
154,141,LM0190,E57,XX,E57aBNR,Yes,4,0.0652,with_beads,with_beads,,Found,Found,,01.05.2022_B1,Dileshi,,,5/1/2022 3:44:27 PM,140.5,ng/µl,2.81,1.5,1.87,2.45,D
155,138,LM0190,E57,XX,E57aMRT,,5,0.0525,with_beads,with_beads,,Empty,Found,Available,21.04.2022_B2,Dileshi,Box_4_Row_1,,4/21/2022 4:40:27 PM,277.6,ng/µl,5.553,3.144,1.77,1.56,D
156,136,LM0190,E57,XX,E57aBHO,,6,0.0574,with_beads,with_beads,,Found,Found,Available,21.04.2022_B1,Dileshi,Box_4_Row_1,,3/21/2022 1:20:14 PM,20.3,ng/µl,0.405,0.214,1.89,-2.59,D
157,136,LM0190,E57,XX,E57aHLZ,Yes,,0.0286,with_beads,with_beads,,,,,21.03.2022,Alexa,,,4/21/2022 12:32:26 PM,243.3,ng/µl,4.865,2.724,1.79,1.69,D
158,139,LM0190,E57,XX,E57aAJO,,7,0.0580,with_beads,with_beads,,Found,Unknown,Available,11.03.2022_B1,Dileshi,Box_4_Row_1,,3/11/2022 6:21:50 PM,88.9,ng/µl,1.779,1.019,1.75,0.97,D
159,139,LM0190,E57,XX,E57aDOZ,,7,0.0580,with_beads,with_beads,,Found,Unknown,Available,11.03.2022_B1,Dileshi,Box_4_Row_1,,4/26/2022 7:45:15 PM,62.5,ng/µl,1.25,0.684,1.83,1.25,D
160,137,LM0190,E57,XX,E57aHOP,,8,0.0100,with_beads,with_beads,,Found,Unknown,,21.03.2022,Alexa,Box_4_Row_1,,3/21/2022 1:26:47 PM,20.8,ng/µl,0.416,0.23,1.81,1.45,D
161,137,LM0190,E57,XX,E57aFUY,,8,0.0100,with_beads,with_beads,,Found,Unknown,,21.03.2022,Alexa,Box_4_Row_1,,4/26/2022 7:44:15 PM,23.9,ng/µl,0.477,0.269,1.77,0.58,D
162,142,LM0190,E57,XX,E57aBCY,,9,0.0642,with_beads,with_beads,,Empty,Found,Available,21.04.2022_B1,Dileshi,Box_4_Row_1,,4/21/2022 12:30:51 PM,174.6,ng/µl,3.493,1.944,1.8,1.71,D
163,144,LM0190,E57,XX,E57aJLN,,10,0.0461,with_beads,with_beads,,Found,Found,,21.04.2022_B2,Dileshi,Box_4_Row_1,,4/21/2022 4:47:14 PM,277.8,ng/µl,5.556,3.089,1.8,1.73,D
164,143,LM0190,E57,XX,E57aGUX,,11,0.0913,with_beads,with_beads,,Found,Found,,10.04.2022_B1,Dileshi,Box_4_Row_1,,4/10/2022 5:15:04 PM,373.8,ng/µl,7.477,4.291,1.74,1.48,D
165,155,LM0191,E57,XX,E57aBCJ,,0,0.0536,with_beads,with_beads,,Found,Found,Available,30.04.2022_B1,Dileshi,Box_3_Row_4,,5/1/2022 3:31:07 PM,231,ng/µl,4.62,2.508,1.84,2.18,D
166,146,LM0191,E57,XX,E57aIVX,,1,0.0540,with_beads,with_beads,,Found,Found,Available,30.04.2022_B1,Dileshi,Box_3_Row_4,,5/1/2022 3:33:24 PM,196.9,ng/µl,3.937,2.169,1.82,1.8,D
167,148,LM0191,E57,XX,E57aKNU,,2,0.0242,with_beads,with_beads,,Found,Unknown,,30.04.2022_B1,Dileshi,Box_3_Row_4,,5/1/2022 3:29:37 PM,7.9,ng/µl,0.158,0.071,2.23,0.32,D
168,153,LM0191,E57,XX,E57aEHN,,3,0.0358,with_beads,with_beads,,Found,Unknown,,30.04.2022_B1,Dileshi,Box_3_Row_4,,5/1/2022 3:34:44 PM,48.6,ng/µl,0.973,0.514,1.89,1.59,D
169,154,LM0191,E57,XX,E57aEHX,,4,0.0572,with_beads,with_beads,,Found,Found,Available,30.04.2022_B1,Dileshi,Box_3_Row_4,,5/1/2022 3:28:50 PM,201.6,ng/µl,4.032,2.217,1.82,1.19,D
170,152,LM0191,E57,XX,E57aDMO,,5,0.0460,with_beads,with_beads,,Found,Found,Available,30.04.2022_B1,Dileshi,Box_3_Row_4,,5/1/2022 3:31:58 PM,177.3,ng/µl,3.547,1.951,1.82,1.73,D
171,147,LM0191,E57,XX,E57aDMO2,,6,0.0483,with_beads,with_beads,,Unknown,Found,,30.04.2022_B1,Dileshi,Box_3_Row_4,,5/1/2022 3:25:26 PM,227.8,ng/µl,4.556,2.514,1.81,1.66,D
172,145,LM0191,E57,XX,E57aEMT,,7,0.1078,with_beads,with_beads,,Found,Found_as_poz,Available,11.03.2022_B1,Dileshi,Box_3_Row_4,,,,,,,,,
173,149,LM0191,E57,XX,E57aQSY,,8,0.0252,with_beads,with_beads,,Found,Unknown,,17.03.2022,Alexa,Box_3_Row_4,,3/17/2022 1:50:13 PM,77.4,ng/µl,1.547,0.84,1.84,1.32,D
174,149,LM0191,E57,XX,E57aKPV,,8,0.0252,with_beads,with_beads,,Found,Unknown,,17.03.2022,Alexa,Box_3_Row_4,,5/1/2022 3:27:29 PM,64.6,ng/µl,1.292,0.691,1.87,1.24,D
175,156,LM0191,E57,XX,E57aAGL,,9,0.0343,with_beads,with_beads,,Found,Found,,30.04.2022_B1,Dileshi,Box_3_Row_4,,5/1/2022 3:32:48 PM,340.8,ng/µl,6.817,3.714,1.84,1.93,D
176,150,LM0191,E57,XX,E57aTWZ,,10,0.0533,with_beads,with_beads,,Empty,Found,Available,30.04.2022_B1,Dileshi,Box_3_Row_4,,5/1/2022 3:28:03 PM,50.5,ng/µl,1.01,0.525,1.92,2.74,D
177,151,LM0191,E57,XX,E57aGUW,,11,0.0612,with_beads,with_beads,,Empty,Found,Available,30.04.2022_B1,Dileshi,Box_3_Row_4,,5/1/2022 3:34:03 PM,161.5,ng/µl,3.229,1.745,1.85,1.3,D
178,166,LM0192,E57,XX,E57aNRX,,0,0.0408,with_beads,with_beads,,Found,Found,Available,01.05.2022_B1,Dileshi,Box_3_Row_3,,5/1/2022 3:42:04 PM,243.4,ng/µl,4.869,2.751,1.77,1.58,D
