"","labels","EH_ID","dpi","OPG","weightloss","Genome_copies_gFaeces","Variable"
"158","E57aEJL","LM0219","7",318597.56097561,-7.63157894736842,108471388.773664,"E64_Prim"
"159","E57aACQ","LM0219","2",0,-7.31578947368421,0,"E64_Prim"
"160","E57aALS","LM0219","1",0,-5.84210526315789,0,"E64_Prim"
"161","E57aCDZ","LM0219","9",0,-8.73684210526316,2221256.36319053,"E64_Prim"
"162","E57aCHN","LM0219","0",0,0,0,"E64_Prim"
"163","E57aCER","LM0219","5",14285.7142857143,-0.157894736842111,110590474.680648,"E64_Prim"
"164","E57aTUX","LM0219","8",14814.8148148148,-9,1524415.30192588,"E64_Prim"
"165","E57aCGL","LM0219","6",1675675.67567568,-5.84210526315789,1607874432.50471,"E64_Prim"
"166","E57aEPS","LM0220","2",0,-2.99188640973631,0,"E64_Prim"
"167","E57aCEJ","LM0220","9",6465.51724137931,0.304259634888432,614640.134172317,"E64_Prim"
"168","E57aBLW","LM0220","7",343137.254901961,3.14401622718051,289302632.492633,"E64_Prim"
"169","E57aBDM","LM0220","4",6097.56097560976,1.72413793103448,20530313.3235793,"E64_Prim"
"170","E57aDFL","LM0220","5",297297.297297297,7.75862068965516,2902544178.87056,"E64_Prim"
"171","E57aAKR","LM0220","6",2380165.2892562,2.63691683569979,1129428709.2462,"E64_Prim"
"172","E57aBQS","LM0220","10",13888.8888888889,0,0,"E64_Prim"
"173","E57aMRU","LM0220","8",39062.5,0.152129817444207,2964588.9382545,"E64_Prim"
"174","E57aAGO","LM0220","0",0,0,0,"E64_Prim"
"175","E57aDGN","LM0220","1",0,-1.36916835699797,0,"E64_Prim"
"176","E57aCIM","LM0220","3",0,3.65111561866125,586548.998137917,"E64_Prim"
"177","E57aBFN","LM0221","8",22413.7931034483,5.57526609224532,126896710.043971,"E64_Prim"
"178","E57aKNV","LM0221","10",0,5.11910795742525,550280.148968852,"E64_Prim"
"179","E57aHOZ","LM0221","6",230555.555555556,6.48758236188546,1889868053.5987,"E64_Prim"
"180","E57aGTU","LM0221","7",553846.153846154,4.15610745058287,224242176.111643,"E64_Prim"
"181","E57aQUX","LM0221","5",98958.3333333333,4.46021287379624,571967384.08426,"E64_Prim"
"182","E57aOTW","LM0221","1",0,0.760263558033462,0,"E64_Prim"
"183","E57aFQS","LM0221","0",0,0,0,"E64_Prim"
"184","E57aAQR","LM0221","3",0,2.88900152052712,2356293.62206945,"E64_Prim"
"185","E57aPQU","LM0221","4",0,-0.861632032437902,90368542.3384616,"E64_Prim"
"186","E57aLTV","LM0221","9",16826.9230769231,6.74100354789661,1063645.43252464,"E64_Prim"
"187","E57aDEI","LM0221","2",0,-1.46984287886467,108773.116627867,"E64_Prim"
"188","E57aHJN","LM0222","7",1238188.97637795,8.67027928303459,47355748.7899844,"E64_Prim"
"189","E57aCRW","LM0222","0",0,0,0,"E64_Prim"
"190","E57aAKQ","LM0222","6",264367.816091954,10.8795331388078,298181860.739964,"E64_Prim"
"191","E57aFVX","LM0222","8",110000,2.54272613588995,11133300.2529287,"E64_Prim"
"192","E57aFIU","LM0222","5",55555.5555555556,9.87911629845768,866745297.465552,"E64_Prim"
"193","E57aJMZ","LM0222","9",49632.3529411765,1.16715298040849,344186.204616462,"E64_Prim"
"194","E57aIJU","LM0222","4",5434.78260869565,6.83618174239265,14138.6418829744,"E64_Prim"
"195","E57aBIN","LM0222","3",0,6.29428928720299,0,"E64_Prim"
"196","E57aDGM","LM0222","2",0,0.666944560233431,0,"E64_Prim"
"197","E57aPQV","LM0222","1",0,0.541892455189658,0,"E64_Prim"
"198","E57aBQX","LM0222","10",0,0.500208420175062,73650.8349040854,"E64_Prim"
"199","E57aQVW","LM0223","9",0,-6.4158224794983,1597852.78985193,"E64_Prim"
"200","E57aRXY","LM0223","0",0,0,0,"E64_Prim"
"201","E57aKOQ","LM0223","1",0,-3.28027013989387,59207.8239229009,"E64_Prim"
"202","E57aBWY","LM0223","6",59829.0598290598,-4.0520984081042,2162158512.3407,"E64_Prim"
"203","E57aFGK","LM0223","4",9090.90909090909,-3.32850940665702,164023010.932811,"E64_Prim"
